Species,Species_modified_from_WAHIS_FAO,host_class,host_order,host_family,host_gen_sp
Eurasian Sparrowhawk:Accipiter nisus(Accipitridae),Eurasian_Sparrowhawk,Aves,Accipitriformes,Accipitridae,Accipiter nisus
Eurasian Spoonbill (Platalea leucorodia),Eurasian_Spoonbill,Aves,Pelecaniformes,Threskiornithidae,Platalea leucorodia
Eurasian Tree Sparrow ,Eurasian_Tree_Sparrow,Aves,Passeriformes,Passeridae,
Eurasian wigeon (Anas penelope),Eurasian_wigeon,Aves,Anseriformes,Anatidae,Anas penelope
falcon,falcon,Aves,Falconiformes,Falconidae,
Ferruginous Duck (Aythya nyroca),Ferruginous_Duck,Aves,Anseriformes,Anatidae,Aythya nyroca
Fowl,Fowl,Aves,Galliformes,,
Fox,Fox,Mammalia,Carnivora,Canidae,
Garganey (Anas querquedula),Garganey,Aves,Anseriformes,Anatidae,Anas querquedula
Geese,Geese,Aves,Anseriformes,Anatidae,
Goats,Goat,Mammalia,Artiodactyla,Bovidae,
goosander,goosander,Aves,Anseriformes,Anatidae,
Goose,Goose,Aves,Anseriformes,Anatidae,
Goshawk,Goshawk,Aves,Accipitriformes,Accipitridae,
Gray Seal (Halichoerus grypus):Phocidae-Carnivora,Gray_Seal,Mammalia,Carnivora,Phocidae,Halichoerus grypus
Great Black-backed Gull (Larus marinus),Great_Black-backed_Gull,Aves,Charadriiformes,Laridae,Larus marinus
Great Black-headed Gull,Great_Black-headed_Gull,Aves,Charadriiformes,Laridae,Ichthyaetus ichthyaetus
Great Cormorant,Great_Cormorant,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax carbo
great crested grebe,great_crested_grebe,Aves,Podicepiformes,Podicipedidae,Podiceps cristatus
Great egret,Great_egret,Aves,Pelecaniformes,Ardeidae,Ardea alba
Greater flamingo,Greater_flamingo,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus roseus
Greater Rhea (Rhea americana),Greater_Rhea,Aves,Rheiformes,Rheidae,Rhea americana
Greater White-fronted Goose (Anser albifrons),Greater_White-fronted_Goose,Aves,Anseriformes,Anatidae,Anser albifrons
grebe,grebe,Aves,Podicepiformes,Podicipedidae,
Grey Crowned Crane,Grey_Crowned_Crane,Aves,Gruiformes,Gruidae,
Grey headed gull (Chroicocephalus cirrocephalus),Grey_headed_gull,Aves,Charadriiformes,Laridae,Chroicocephalus cirrocephalus
Grey heron,Grey_heron,Aves,Pelecaniformes,Ardeidae,Ardea cinerea
Greylag goose,Greylag_goose,Aves,Anseriformes,Anatidae,Anser anser
Gruidae,Gruidae,Aves,Gruiformes,Gruidae,
Guinea fowl,Guinea_fowl,Aves,Galliformes,Numididae,
Gull,Gull,Aves,Charadriiformes,Laridae,
Haematopodidae,Haematopodidae,Aves,Charadriiformes,Haematopodidae,
Haliaeetus pelagicus (Steller's sea eagle),Steller's_sea_eagle,Aves,Accipitriformes,Accipitridae,Haliaeetus pelagicus
Harbor Seal (Phoca vitulina):Phocidae-Carnivora,Harbor_Seal,Mammalia,Carnivora,Phocidae,Phoca vitulina
Hartlaub's gull (Chroicocephalus hartlaubii),Hartlaub's_gull,Aves,Charadriiformes,Laridae,Chroicocephalus hartlaubii
Hawk,Hawk,Aves,Accipitriformes,Accipitridae,
Helmeted guineafowl (Numida meleagris),Helmeted_guineafowl,Aves,Galliformes,Numididae,Numida meleagris
Heron,Heron,Aves,Pelecaniformes,Ardeidae,
Herring gull,Herring_gull,Aves,Charadriiformes,Laridae,Larus argentatus
Hooded crane,Hooded_crane,Aves,Gruiformes,Gruidae,Grus monacha
Hooded Crow (Corvus cornix),Hooded_Crow,Aves,Passeriformes,Corvidae,Corvus cornix
House Crow (Corvus splendens),House_Crow,Aves,Passeriformes,Corvidae,Corvus splendens
Indian Peafowl (Pavo cristatus),Indian_Peafowl,Aves,Galliformes,Phasianidae,Pavo cristatus
Jackal buzzard (Buteo rufofuscus),Jackal_buzzard,Aves,Accipitriformes,Accipitridae,Buteo rufofuscus
Jackass Penguin Spheniscus demersus,Jackass_Penguin,Aves,Sphenisciformes,Spheniscidae,Spheniscus demersus
Jackdaw,Jackdaw,Aves,Passeriformes,Corvidae,
Kentish plover,Kentish_plover,Aves,Charadriiformes,Charadriidae,
kite,kite,Aves,Accipitriformes,Accipitridae,
Large-billed Crow ,Large-billed_Crow,Aves,Passeriformes,Corvidae,Corvus macrorhynchos
Laridae,Laridae,Aves,Charadriiformes,Laridae,
Lesser black backed gull (Larus fuscus),Lesser_black_backed_gull,Aves,Charadriiformes,Laridae,Larus fuscus
Lesser Snow Goose,Lesser_Snow_Goose,Aves,Anseriformes,Anatidae,
Little grebe,Little_grebe,Aves,Podicepiformes,Podicipedidae,Tachybaptus ruficollis
Little Ringed Plover ,Little_Ringed_Plover,Aves,Charadriiformes,Charadriidae,
Little stint,Little_stint,Aves,Charadriiformes,Scolopacidae,
Magpie,Magpie,Aves,Passeriformes,Corvidae,
Mallard duck,Mallard_duck,Aves,Anseriformes,Anatidae,Anas platyrhynchos
Mandarin duck,Mandarin_duck,Aves,Anseriformes,Anatidae,Aix galericulata
Marsh Harrier ,Marsh_Harrier,Aves,Accipitriformes,Accipitridae,
Mediterranean Gull ,Mediterranean_Gull,Aves,Charadriiformes,Laridae,
Mew gull (Larus canus),Mew_gull,Aves,Charadriiformes,Laridae,Larus canus
Mink,Mink,Mammalia,Carnivora,Mustelidae,
Mountain Hawk-Eagle ,Mountain_Hawk-Eagle,Aves,Accipitriformes,Accipitridae,
Muscovy ducks,Muscovy_ducks,Aves,Anseriformes,Anatidae,
Mute swan,Mute_swan,Aves,Anseriformes,Anatidae,Cygnus olor
Northern pintail,Northern_pintail,Aves,Anseriformes,Anatidae,Anas acuta
Numididae,Guinea_fowl,Aves,Galliformes,Numididae,
Nyctereutes viverrinus (Japanese Racoon Dog),Japanese_Racoon_Dog,Mammalia,Carnivora,Canidae,Nyctereutes viverrinus
Oriental magpie robin,Oriental_magpie_robin,Aves,Passeriformes,Muscicapidae,
ostrich,ostrich,Aves,Struthioniformes,Struthionidae,
owl,owl,Aves,Strigiformes,,
Oyster catcher,Oystercatcher,Aves,Charadriiformes,Haematopodidae,
parrot,parrot,Aves,Psittaciformes,,
Partridge,Partridge,Aves,Galliformes,Phasianidae,
Passeridae,Passeridae,Aves,Passeriformes,Passeridae,
peacock,peacock,Aves,Galliformes,Phasianidae,
Pelecanidae,Pelecanidae,Aves,Pelecaniformes,Pelecanidae,
peregrine falcon,peregrine_falcon,Aves,Falconiformes,Falconidae,Falco peregrinus
Phasianidae,Phasianidae,Aves,Galliformes,Phasianidae,
pheasant,pheasant,Aves,Galliformes,Phasianidae,
Pied avocet,Pied_avocet,Aves,Charadriiformes,Recurvirostridae,
Pied crow (Corvus albus),Pied_crow,Aves,Passeriformes,Corvidae,Corvus albus
Pigeon,Pigeon,Aves,Columbiformes,Columbidae,
Pochard,Pochard,Aves,Anseriformes,Anatidae,
quail,quail,Aves,Galliformes,Phasianidae,Coturnix coturnix
Red breasted goose,Red_breasted_goose,Aves,Anseriformes,Anatidae,
Red-and-green macaw (Ara chloropterus),Red-and-green_macaw,Aves,Psittaciformes,Psittacidae,Ara chloropterus
Red-crowned crane (Grus japonensis),Red-crowned_crane,Aves,Gruiformes,Gruidae,Grus japonensis
Red-tailed hawk ,Red-tailed_hawk,Aves,Accipitriformes,Accipitridae,
Ring Necked Duck,Ring_Necked_Duck,Aves,Anseriformes,Anatidae,
Rock dove,Rock_dove,Aves,Columbiformes,Columbidae,
Rose Pelican (Pelecanus onocrotalus),Great_white_pelican,Aves,Pelecaniformes,Pelecanidae,Pelecanus onocrotalus
Ruff,Ruff,Aves,Charadriiformes,Scolopacidae,
Sanderling ,Sanderling,Aves,Charadriiformes,Scolopacidae,
Scolopacidae,Scolopacidae,Aves,Charadriiformes,Scolopacidae,
