Year,Semester,World_region,Country,Administrative_Division,Disease,Serotype_Subtype_Genotype,Animal_Category,Species,Outbreak_id,New_outbreaks,Susceptible,Cases,Killed_and_disposed_of,Slaughtered,Deaths,Vaccinated
2022,Jan-Jun 2022,Europe,Netherlands,Muiden,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95468,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Naaldwijk,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Common Coot,98732,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Naarden,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97802,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Neerijnen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97762,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Noorder-Koggenland,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Grey-headed gull,98747,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Noordoostpolder,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95500,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Noordoostpolder,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),98767,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Noordoostpolder,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),101436,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Nunspeet,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),98736,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Nunspeet,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Western Grebe,101432,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Oldebroek,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97404,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Oldebroek,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97761,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Oldebroek,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97782,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Oldebroek,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97794,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Opmeer,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Common Kestrel,98729,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Opsterland,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95659,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Opsterland,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),101044,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Opsterland,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,White Stork,103616,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Oss,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Phasianidae (unidentified),103356,1,1,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Ouderkerk,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Black-headed Gull,95169,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Oudewater,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,98594,1,"112,021","2,000","111,021",0,"1,000",0
2022,Jan-Jun 2022,Europe,Netherlands,Overbetuwe,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),101076,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Overbetuwe,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,97756,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Papendrecht,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Great Crested Grebe,97793,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Pijnacker-Nootdorp,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95494,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Pijnacker-Nootdorp,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Canada Goose,95166,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Putten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95623,0,-,8,0,0,8,0
2022,Jan-Jun 2022,Europe,Netherlands,Putten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Black-headed Gull,95623,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Putten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Common Raven,103370,1,-,2,0,0,2,0
2022,Jan-Jun 2022,Europe,Netherlands,Putten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Great Black-headed Gull,97812,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Putten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,101423,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Putten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,101433,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Raalte,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,101046,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Reimerswaal,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95487,1,-,2,0,0,2,0
2022,Jan-Jun 2022,Europe,Netherlands,Reimerswaal,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,101624,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Renkum,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95495,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Renswoude,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,102790,1,"87,283",70,"87,263",0,20,0
2022,Jan-Jun 2022,Europe,Netherlands,Rheden,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),101078,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Rhenen,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,98413,1,"46,768",532,"46,468",0,300,0
2022,Jan-Jun 2022,Europe,Netherlands,Rhenen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,97736,1,-,1,0,0,1,0
